datetime_utc,precio_eur_mwh,temperature_2m,cloudcover,shortwave_radiation,windspeed_10m,precipitation,hora,dia_semana,mes,es_fin_de_semana,precio_lag_24h,precio_lag_48h,precio_lag_168h,precio_media_24h
2025-08-08 00:00:00+00:00,144.44,29.5,0,0.0,1.7,0.0,0,4,8,0,139.83,118.72,124.43,153.12791666666666
2025-08-08 01:00:00+00:00,138.78,28.3,3,0.0,0.5,0.0,1,4,8,0,141.25,114.82,112.27,153.025
2025-08-08 02:00:00+00:00,137.48,27.2,0,0.0,5.5,0.0,2,4,8,0,140.56,121.11,103.58,152.89666666666668
2025-08-08 03:00:00+00:00,139.81,26.1,0,0.0,6.7,0.0,3,4,8,0,141.12,132.13,113.33,152.84208333333333
2025-08-08 04:00:00+00:00,143.32,25.0,1,0.0,8.1,0.0,4,4,8,0,150.72,130.04,124.54,152.53375000000003
2025-08-08 05:00:00+00:00,149.99,23.8,9,0.0,3.8,0.0,5,4,8,0,157.93,144.71,143.78,152.20291666666665
2025-08-08 06:00:00+00:00,174.12,23.9,9,16.0,2.9,0.0,6,4,8,0,177.97,157.78,167.55,152.0425
2025-08-08 07:00:00+00:00,132.12,25.5,0,144.0,4.6,0.0,7,4,8,0,137.76,135.97,131.94,151.8075
2025-08-08 08:00:00+00:00,163.83,27.5,1,332.0,5.3,0.0,8,4,8,0,167.97,169.8,179.76,151.63500000000002
2025-08-08 09:00:00+00:00,127.88,29.7,8,521.0,5.2,0.0,9,4,8,0,140.37,144.18,167.82,151.11458333333334
2025-08-08 10:00:00+00:00,124.9,32.0,17,687.0,4.1,0.0,10,4,8,0,139.72,143.71,164.15,150.49708333333334
2025-08-08 11:00:00+00:00,115.34,34.2,40,814.0,4.0,0.0,11,4,8,0,139.5,139.61,154.08,149.49041666666668
2025-08-08 12:00:00+00:00,49.46,36.1,63,890.0,5.0,0.0,12,4,8,0,73.0,74.18,83.08,148.50958333333332
2025-08-08 13:00:00+00:00,49.95,37.5,73,912.0,6.5,0.0,13,4,8,0,72.17,74.47,75.86,147.58374999999998
2025-08-08 14:00:00+00:00,60.16,38.2,92,840.0,10.0,0.0,14,4,8,0,73.28,77.07,79.28,147.03708333333336
2025-08-08 15:00:00+00:00,104.17,37.8,19,636.0,11.4,0.0,15,4,8,0,97.84,102.92,90.49,147.30083333333334
2025-08-08 16:00:00+00:00,195.5,37.9,84,590.0,9.4,0.0,16,4,8,0,189.06,203.89,180.65,147.5691666666667
2025-08-08 17:00:00+00:00,235.05,37.6,36,433.0,8.0,0.0,17,4,8,0,224.37,234.14,206.57,148.01416666666668
2025-08-08 18:00:00+00:00,240.36,37.2,99,250.0,11.2,0.0,18,4,8,0,241.28,245.26,222.08,147.97583333333333
2025-08-08 19:00:00+00:00,271.11,36.2,99,81.0,10.7,0.0,19,4,8,0,276.48,310.16,238.04,147.75208333333333
2025-08-08 20:00:00+00:00,181.75,34.6,99,2.0,1.8,0.0,20,4,8,0,188.02,221.38,172.8,147.49083333333334
2025-08-08 21:00:00+00:00,174.31,33.6,89,0.0,11.0,0.0,21,4,8,0,172.07,182.58,165.87,147.58416666666668
2025-08-08 22:00:00+00:00,147.93,32.8,48,0.0,11.0,0.0,22,4,8,0,145.34,153.09,155.49,147.69208333333333
2025-08-08 23:00:00+00:00,148.67,31.2,3,0.0,2.2,0.0,23,4,8,0,142.85,143.09,134.5,147.93458333333334
2025-08-09 00:00:00+00:00,149.49,30.0,0,0.0,7.1,0.0,0,5,8,1,144.44,139.83,122.97,148.145
2025-08-09 01:00:00+00:00,146.71,28.5,0,0.0,9.3,0.0,1,5,8,1,138.78,141.25,103.64,148.47541666666666
2025-08-09 02:00:00+00:00,146.24,27.2,0,0.0,7.7,0.0,2,5,8,1,137.48,140.56,97.3,148.84041666666667
2025-08-09 03:00:00+00:00,146.04,26.0,0,0.0,4.6,0.0,3,5,8,1,139.81,141.12,98.39,149.1
2025-08-09 04:00:00+00:00,151.39,24.8,0,0.0,2.3,0.0,4,5,8,1,143.32,150.72,105.03,149.43625
2025-08-09 05:00:00+00:00,158.13,24.2,0,0.0,1.8,0.0,5,5,8,1,149.99,157.93,110.32,149.77541666666667
2025-08-09 06:00:00+00:00,145.59,24.6,0,15.0,3.3,0.0,6,5,8,1,174.12,177.97,91.95,148.58666666666667
2025-08-09 07:00:00+00:00,84.61,26.0,0,141.0,4.0,0.0,7,5,8,1,132.12,137.76,62.33,146.60708333333332
2025-08-09 08:00:00+00:00,34.56,27.8,0,327.0,4.6,0.0,8,5,8,1,163.83,167.97,58.83,141.22083333333333
2025-08-09 09:00:00+00:00,34.26,29.8,0,517.0,4.0,0.0,9,5,8,1,127.88,140.37,57.58,137.32
2025-08-09 10:00:00+00:00,34.0,32.0,0,683.0,3.7,0.0,10,5,8,1,124.9,139.72,57.05,133.5325
2025-08-09 11:00:00+00:00,32.96,34.2,0,811.0,3.5,0.0,11,5,8,1,115.34,139.5,56.03,130.1
2025-08-09 12:00:00+00:00,32.86,36.0,0,889.0,3.7,0.0,12,5,8,1,49.46,73.0,55.37,129.40833333333333
2025-08-09 13:00:00+00:00,33.37,37.4,5,908.0,3.6,0.0,13,5,8,1,49.95,72.17,56.15,128.7175
2025-08-09 14:00:00+00:00,33.29,38.3,12,847.0,6.3,0.0,14,5,8,1,60.16,73.28,56.61,127.59791666666666
2025-08-09 15:00:00+00:00,37.87,38.2,11,712.0,10.3,0.0,15,5,8,1,104.17,97.84,57.66,124.83541666666666
2025-08-09 16:00:00+00:00,68.41,37.8,20,610.0,11.6,0.0,16,5,8,1,195.5,189.06,60.64,119.54
2025-08-09 17:00:00+00:00,109.93,37.6,68,439.0,9.4,0.0,17,5,8,1,235.05,224.37,68.83,114.32666666666667
2025-08-09 18:00:00+00:00,134.17,37.3,88,225.0,8.1,0.0,18,5,8,1,240.36,241.28,130.67,109.90208333333334
